fecha;tendencia;precio_entrada;resultado;ganancia_usd
22/01/2025 10:45;bajista;104.524;TP;10.0
22/01/2025 11:05;alcista;104.552;SL;-10.0
22/01/2025 11:25;bajista;104.458;TP;10.0
22/01/2025 12:50;alcista;104.372;SL;-10.0
22/01/2025 13:25;bajista;104.355;TP;10.0
22/01/2025 13:55;alcista;104.317;SL;-10.0
22/01/2025 14:00;bajista;104.254;TP;10.0
22/01/2025 16:05;alcista;104.218;sin resultado;0.0
22/01/2025 16:15;bajista;104.167;sin resultado;0.0
22/01/2025 16:35;alcista;104.211;sin resultado;0.0
22/01/2025 17:10;bajista;104.148;sin resultado;0.0
22/01/2025 18:20;alcista;104.186;sin resultado;0.0
22/01/2025 18:50;bajista;104.183;sin resultado;0.0
22/01/2025 19:05;alcista;104.202;sin resultado;0.0
22/01/2025 19:40;bajista;104.197;sin resultado;0.0
22/01/2025 20:05;alcista;104.222;SL;-10.0
22/01/2025 20:30;bajista;10.419.100.000.000.000;TP;10.0
22/01/2025 21:50;alcista;104.101;sin resultado;0.0
22/01/2025 21:55;bajista;104.084;sin resultado;0.0
22/01/2025 22:00;alcista;104.101;sin resultado;0.0
22/01/2025 22:10;bajista;104.078;sin resultado;0.0
22/01/2025 22:30;alcista;104.101;sin resultado;0.0
22/01/2025 23:00;bajista;104.069;sin resultado;0.0
22/01/2025 23:50;alcista;104.083;sin resultado;0.0
23/01/2025 0:35;bajista;104.084;sin resultado;0.0
23/01/2025 0:55;alcista;104.103;sin resultado;0.0
23/01/2025 1:20;bajista;104.085;TP;10.0
23/01/2025 2:20;alcista;104.053;sin resultado;0.0
23/01/2025 2:45;bajista;104.026;sin resultado;0.0
23/01/2025 3:05;alcista;104.053;sin resultado;0.0
23/01/2025 5:00;bajista;104.075;sin resultado;0.0
23/01/2025 6:00;alcista;104.084;sin resultado;0.0
23/01/2025 6:40;bajista;104.067;TP;10.0
23/01/2025 7:55;alcista;104.002;SL;-10.0
23/01/2025 8:25;bajista;103.955;SL;-10.0
23/01/2025 9:00;alcista;104.033;TP;10.0
23/01/2025 10:55;bajista;10.411.299.999.999.900;TP;10.0
23/01/2025 11:15;alcista;104.116;SL;-10.0
23/01/2025 11:45;bajista;104.034;sin resultado;0.0
23/01/2025 12:40;alcista;104.006;TP;10.0
23/01/2025 14:35;bajista;104.078;TP;10.0
23/01/2025 16:00;alcista;103.983;SL;-10.0
23/01/2025 17:00;bajista;104.196;SL;-10.0
23/01/2025 17:30;alcista;10.422;TP;10.0
23/01/2025 18:15;bajista;104.322;TP;10.0
23/01/2025 19:25;alcista;10.423.499.999.999.900;sin resultado;0.0
23/01/2025 20:00;bajista;10.422;sin resultado;0.0
23/01/2025 20:05;alcista;104.247;sin resultado;0.0
23/01/2025 20:30;bajista;104.215;sin resultado;0.0
23/01/2025 22:30;alcista;104.166;sin resultado;0.0
23/01/2025 22:45;bajista;104.147;sin resultado;0.0
23/01/2025 23:30;alcista;104.166;sin resultado;0.0
23/01/2025 23:45;bajista;104.148;sin resultado;0.0
24/01/2025 0:00;alcista;104.163;sin resultado;0.0
24/01/2025 1:00;bajista;104.181;sin resultado;0.0
24/01/2025 1:55;alcista;104.157;TP;10.0
24/01/2025 3:15;bajista;104.407;sin resultado;0.0
24/01/2025 3:35;alcista;104.454;sin resultado;0.0
24/01/2025 4:40;bajista;104.448;sin resultado;0.0
24/01/2025 5:00;alcista;104.516;sin resultado;0.0
24/01/2025 5:25;bajista;104.458;SL;-10.0
24/01/2025 5:55;alcista;104.514;TP;10.0
24/01/2025 6:55;bajista;104.573;TP;10.0
24/01/2025 7:45;alcista;104.582;TP;10.0
24/01/2025 9:40;bajista;10.495.700.000.000.000;sin resultado;0.0
24/01/2025 10:05;alcista;104.946;sin resultado;0.0
24/01/2025 10:15;bajista;104.917;sin resultado;0.0
24/01/2025 11:50;alcista;104.886;SL;-10.0
24/01/2025 12:00;bajista;104.827;TP;10.0
24/01/2025 12:25;alcista;104.868;SL;-10.0
24/01/2025 12:45;bajista;104.766;TP;10.0
24/01/2025 14:05;alcista;104.739;TP;10.0
24/01/2025 16:10;bajista;105.144;sin resultado;0.0
24/01/2025 16:30;alcista;105.145;sin resultado;0.0
24/01/2025 16:40;bajista;105.136;sin resultado;0.0
24/01/2025 16:55;alcista;105.147;sin resultado;0.0
24/01/2025 17:45;bajista;105.108;TP;10.0
24/01/2025 19:25;alcista;104.952;sin resultado;0.0
24/01/2025 20:00;bajista;104.919;sin resultado;0.0
24/01/2025 20:20;alcista;104.949;sin resultado;0.0
24/01/2025 20:30;bajista;104.903;sin resultado;0.0
24/01/2025 20:50;alcista;10.492;sin resultado;0.0
24/01/2025 21:25;bajista;104.944;TP;10.0
26/01/2025 22:25;alcista;104.831;SL;-10.0
26/01/2025 22:55;bajista;104.824;TP;10.0
27/01/2025 0:20;alcista;104.743;sin resultado;0.0
27/01/2025 0:40;bajista;104.722;TP;10.0
27/01/2025 0:50;alcista;104.749;SL;-10.0
27/01/2025 1:25;bajista;104.721;TP;10.0
27/01/2025 2:40;alcista;104.634;TP;10.0
27/01/2025 3:40;bajista;104.674;sin resultado;0.0
27/01/2025 5:40;alcista;104.605;sin resultado;0.0
27/01/2025 6:05;bajista;104.598;sin resultado;0.0
27/01/2025 6:25;alcista;104.637;sin resultado;0.0
27/01/2025 6:40;bajista;104.587;SL;-10.0
27/01/2025 7:00;alcista;104.605;TP;10.0
27/01/2025 7:05;bajista;10.454;SL;-10.0
27/01/2025 7:25;alcista;104.618;TP;10.0
27/01/2025 9:20;bajista;104.806;SL;-10.0
27/01/2025 9:50;alcista;104.886;TP;10.0
27/01/2025 11:45;bajista;105.092;sin resultado;0.0
27/01/2025 12:00;alcista;10.517;TP;10.0
27/01/2025 12:20;bajista;105.092;SL;-10.0
27/01/2025 12:35;alcista;105.163;TP;10.0
27/01/2025 13:20;bajista;10.512;SL;-10.0
27/01/2025 13:40;alcista;105.218;SL;-10.0
27/01/2025 14:20;bajista;105.176;TP;10.0
27/01/2025 15:20;alcista;105.077;SL;-10.0
27/01/2025 15:25;bajista;105.029;sin resultado;0.0
27/01/2025 15:55;alcista;104.992;SL;-10.0
27/01/2025 16:35;bajista;104.929;sin resultado;0.0
27/01/2025 17:20;alcista;104.944;sin resultado;0.0
27/01/2025 17:35;bajista;104.874;sin resultado;0.0
